"","Date","Away_team","Away_score","Home_team","Home_score","score_diff","site","nuetral","Home_conference","Away_conference"
"1",2021-11-09,"Abilene Christian",56,"Utah",70,14,"Utah",0,"Pacific-12","Western Athletic"
"2",2021-11-09,"Akron",66,"Ohio St.",67,1,"Ohio St.",0,"Big Ten","Mid-American"
"3",2021-11-09,"Alabama St.",74,"Western Kentucky",79,5,"Western Kentucky",0,"Conference USA","Southwest Athletic"
"4",2021-11-09,"Alcorn St.",67,"Washington St.",85,18,"Washington St.",0,"Pacific-12","Southwest Athletic"
"5",2021-11-09,"Appalachian St.",53,"Iona",65,12,"Iona",0,"Metro Atlantic Athletic","Sun Belt"
"6",2021-11-09,"Arkansas Pine Bluff",77,"Creighton",90,13,"Creighton",0,"Big East","Southwest Athletic"
"7",2021-11-09,"Ball St.",71,"Georgia Southern",82,11,"Georgia Southern",0,"Sun Belt","Mid-American"
"8",2021-11-09,"Bellarmine",67,"Purdue",96,29,"Purdue",0,"Big Ten","Atlantic Sun"
"9",2021-11-09,"Belmont",80,"Ohio",92,12,"Ohio",0,"Mid-American","Ohio Valley"
"10",2021-11-09,"Bethesda",74,"Southern Utah",116,42,"Southern Utah",0,"Big Sky","Pacific Christian Athletic"
"11",2021-11-09,"Bethune Cookman",54,"South Florida",75,21,"South Florida",0,"American Athletic","Southwest Athletic"
"12",2021-11-09,"Birmingham Southern",98,"Lipscomb",105,7,"Lipscomb",0,"Atlantic Sun",NA
"13",2021-11-09,"Birmingham Southern",98,"Lipscomb",105,7,"Lipscomb",0,"Atlantic Sun",NA
"14",2021-11-09,"Bob Jones",79,"Wofford",117,38,"Wofford",0,"Southern",NA
"15",2021-11-09,"Boston University",62,"Rhode Island",71,9,"Rhode Island",0,"Atlantic 10","Patriot League"
"16",2021-11-09,"Bowling Green",71,"Western Carolina",79,8,"Western Carolina",0,"Southern","Mid-American"
"17",2021-11-09,"Bradley",65,"South Dakota St.",81,16,"South Dakota St.",0,"Summit League","Missouri Valley"
"18",2021-11-09,"Brescia",59,"Middle Tennessee",98,39,"Middle Tennessee",0,"Conference USA",NA
"19",2021-11-09,"Brewton Parker",37,"Georgia St.",97,60,"Georgia St.",0,"Sun Belt",NA
"20",2021-11-09,"Bridgewater VA",56,"Norfolk St.",79,23,"Norfolk St.",0,"Mid-Eastern Athletic",NA
"21",2021-11-09,"Bucknell",70,"N.C. State",88,18,"N.C. State",0,"Big Sky","Patriot League"
"22",2021-11-09,"Cairn",41,"Delaware St.",80,39,"Delaware St.",0,"Mid-Eastern Athletic",NA
"23",2021-11-09,"Cal St. Bakersfield",58,"UCLA",95,37,"UCLA",0,"Pacific-12","Big West"
"24",2021-11-09,"Cal St. Fullerton",77,"Santa Clara",84,7,"Santa Clara",0,"West Coast","Big West"
"25",2021-11-09,"Cal St. Northridge",49,"USC",89,40,"USC",0,"Pacific-12","Big West"
"26",2021-11-09,"Canisius",67,"Miami FL",77,10,"Miami FL",0,"Atlantic Coast","Metro Atlantic Athletic"
"27",2021-11-09,"Carlow",55,"VMI",111,56,"VMI",0,"Southern",NA
"28",2021-11-09,"Carver",42,"Troy",104,62,"Troy",0,"Sun Belt",NA
"29",2021-11-09,"Central Arkansas",61,"Saint Louis",96,35,"Saint Louis",0,"Atlantic 10","Atlantic Sun"
"30",2021-11-09,"Central Connecticut",48,"Connecticut",99,51,"Connecticut",0,"Big East","Northeast"
"31",2021-11-09,"Central Michigan",68,"Missouri",78,10,"Missouri",0,"Southeastern","Mid-American"
"32",2021-11-09,"Chattanooga",75,"Loyola Marymount",64,-11,"Loyola Marymount",0,"West Coast","Southern"
"33",2021-11-09,"Cleveland St.",59,"BYU",69,10,"BYU",0,"West Coast","Horizon League"
"34",2021-11-09,"Coe",61,"Drake",87,26,"Drake",0,"Missouri Valley",NA
"35",2021-11-09,"Columbia",67,"Fordham",77,10,"Fordham",0,"Atlantic 10","Ivy League"
"36",2021-11-09,"Concordia College MN",44,"North Dakota St.",88,44,"North Dakota St.",0,"Summit League",NA
"37",2021-11-09,"Coppin St.",45,"Loyola Chicago",103,58,"Loyola Chicago",0,"Missouri Valley","Mid-Eastern Athletic"
"38",2021-11-09,"Cornell",76,"Binghamton",69,-7,"Binghamton",0,"America East","Ivy League"
"39",2021-11-09,"Cumberland",77,"Murray St.",109,32,"Murray St.",0,"Ohio Valley",NA
"40",2021-11-09,"Dartmouth",57,"Boston College",73,16,"Boston College",0,"Atlantic Coast","Ivy League"
"41",2021-11-09,"Delaware",71,"Davidson",93,22,"Davidson",0,"Atlantic 10","Colonial Athletic Association"
"42",2021-11-09,"Dickinson St.",27,"Montana",74,47,"Montana",0,"Big Sky",NA
"43",2021-11-09,"District of Columbia",59,"Howard",87,28,"Howard",0,"Mid-Eastern Athletic",NA
"44",2021-11-09,"Dixie St.",63,"Gonzaga",97,34,"Gonzaga",0,"West Coast","Western Athletic"
"45",2021-11-09,"Earlham",54,"Purdue Fort Wayne",103,49,"Purdue Fort Wayne",0,"Horizon League",NA
"46",2021-11-09,"Eastern Illinois",56,"Northwestern",80,24,"Northwestern",0,"Big Ten","Ohio Valley"
"47",2021-11-09,"Eastern Michigan",62,"Indiana",68,6,"Indiana",0,"Big Ten","Mid-American"
"48",2021-11-09,"Eastern Oregon",61,"Idaho St.",82,21,"Idaho St.",0,"Big Sky",NA
"49",2021-11-09,"Eastern Washington",76,"Nevada",91,15,"Nevada",0,"Mountain West","Big Sky"
"50",2021-11-09,"Elon",61,"Florida",74,13,"Florida",0,"Southeastern","Colonial Athletic Association"
"51",2021-11-09,"Emerson",48,"Merrimack",77,29,"Merrimack",0,"Northeast",NA
"52",2021-11-09,"Emory & Henry",72,"Radford",84,12,"Radford",0,"Big South",NA
"53",2021-11-09,"Evansville",43,"Cincinnati",65,22,"Cincinnati",0,"American Athletic","Missouri Valley"
"54",2021-11-09,"Fairfield",73,"Providence",80,7,"Providence",0,"Big East","Metro Atlantic Athletic"
"55",2021-11-09,"Ferrum",73,"Coastal Carolina",101,28,"Coastal Carolina",0,"Sun Belt",NA
"56",2021-11-09,"Fisher",54,"Bryant",122,68,"Bryant",0,"Northeast",NA
"57",2021-11-09,"FIU",51,"Georgia",58,7,"Georgia",0,"Southeastern","NCAA"
"58",2021-11-09,"Florida Memorial",67,"Stetson",74,7,"Stetson",0,"Atlantic Sun",NA
"59",2021-11-09,"Florida National",57,"Florida Gulf Coast",94,37,"Florida Gulf Coast",0,"Atlantic Sun","Conference USA"
"60",2021-11-09,"Fresno Pacific",54,"Fresno St.",74,20,"Fresno St.",0,"Mountain West",NA
"61",2021-11-09,"Georgetown KY",63,"Eastern Kentucky",93,30,"Eastern Kentucky",0,"Atlantic Sun",NA
"62",2021-11-09,"Grambling St.",53,"Grand Canyon",74,21,"Grand Canyon",0,"Western Athletic","Southwest Athletic"
"63",2021-11-09,"Harding",55,"Arkansas St.",81,26,"Arkansas St.",0,"Sun Belt",NA
"64",2021-11-09,"Hartford",59,"Wagner",77,18,"Wagner",0,"Northeast","America East"
"65",2021-11-09,"Hastings",57,"Nebraska Omaha",67,10,"Nebraska Omaha",0,"Summit League",NA
"66",2021-11-09,"Hofstra",75,"Houston",83,8,"Houston",0,"American Athletic","Colonial Athletic Association"
"67",2021-11-09,"Houston Baptist",48,"Texas",92,44,"Texas",0,"Big 12","Southland"
"68",2021-11-09,"Illinois Chicago",54,"Dayton",64,10,"Dayton",0,"Atlantic 10","Horizon League"
"69",2021-11-09,"Indiana St.",81,"Green Bay",77,-4,"Green Bay",0,"Horizon League","Missouri Valley"
"70",2021-11-09,"IUPUI",47,"Butler",56,9,"Butler",0,"Big East","Horizon League"
"71",2021-11-09,"Jackson St.",47,"Illinois",71,24,"Illinois",0,"Big Ten","Southwest Athletic"
"72",2021-11-09,"Jacksonville St.",57,"Wichita St.",60,3,"Wichita St.",0,"American Athletic","Atlantic Sun"
"73",2021-11-09,"Johnson & Wales NC",71,"Charleston Southern",118,47,"Charleston Southern",0,"Big South",NA
"74",2021-11-09,"Kansas",87,"Michigan St.",74,-13,"New York, NY",1,"Big Ten","Big 12"
"75",2021-11-09,"Kennesaw St.",73,"Iowa St.",84,11,"Iowa St.",0,"Big 12","Atlantic Sun"
"76",2021-11-09,"Kentucky",71,"Duke",79,8,"New York, NY",1,"Atlantic Coast","Southeastern"
"77",2021-11-09,"La Verne",38,"San Diego",103,65,"San Diego",0,"West Coast",NA
"78",2021-11-09,"Lafayette",63,"Syracuse",97,34,"Syracuse",0,"Atlantic Coast","Patriot League"
"79",2021-11-09,"Lake Erie",53,"Wright St.",86,33,"Wright St.",0,"Horizon League",NA
